,xG,PrgPasses,Gls/90,xG/90,Shots,Sh/90,SoT/90,Dist,PrgDist,FinalThirdPass,PenaltyAreaCross,SCA90,Tkl Def 3rd,Tkl Mid 3rd,Clearances,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,short_Pass_Ratio,medium_Pass_Ratio,long_Pass_Ratio,clusters,Player_Name,Pos
296,5.6,84,0.17,0.24,54,2.34,0.91,16.6,2608,36,3,3.33,32,17,27,43,282,509,557,107,0.627831715,0.30097087378640774,0.071197411,4,Samuel Lino,DF
502,3.6,13,0.25,0.3,33,2.76,0.84,14.7,294,8,1,1.92,2,8,10,8,17,147,206,60,0.5783132530120482,0.3493975903614458,0.072289157,4,Umar Sadiq,FW
247,2.3,67,0.08,0.18,27,2.11,0.55,18.1,1476,41,2,2.35,5,7,17,20,85,304,241,45,0.49523809523809526,0.4095238095238095,0.095238095,4,Pablo Ibáñez,MF
365,1.4,2,0.46,0.33,15,3.45,1.61,16.9,109,1,1,2.99,1,1,1,2,11,61,67,20,0.5394736842105263,0.39473684210526316,0.065789474,4,Rafa Mir,FW
234,1.2,17,0,0.18,18,2.63,0.44,15.9,489,10,6,4.38,4,10,8,4,33,135,156,34,0.5401069518716578,0.3315508021390374,0.12834224598930483,4,Luiz Henrique,FW
233,2.8,32,0,0.31,26,2.91,0.9,23.9,1189,21,4,5.37,2,14,4,2,32,162,222,25,0.4296028880866426,0.33574007220216606,0.23465703971119134,4,Ianis Hagi,MF
232,4.3,78,0.11,0.16,42,1.54,0.4,16.7,2061,40,1,2.28,18,17,16,14,108,516,430,70,0.5602322206095791,0.32946298984034833,0.11030478955007257,4,Munir El Haddadi,FW
230,11.6,55,0.57,0.47,63,2.56,1.14,13.5,1140,38,3,2.27,6,25,23,22,77,456,399,110,0.5988909426987061,0.33086876155268025,0.070240296,4,Gorka Guruzeta,FW
370,2,87,0.15,0.1,33,1.65,0.5,20,1868,44,2,3.34,4,7,10,8,109,441,453,59,0.6137404580152672,0.3435114503816794,0.042748091603053436,4,Alberto Moleiro,FW
226,1.4,17,1.43,0.34,15,3.58,1.43,21.9,611,8,0,4.3,1,3,5,7,39,114,125,19,0.5960591133004927,0.30049261083743845,0.10344827586206896,4,Arda Güler,FW
349,5.8,27,0.5,0.58,38,3.83,1.51,17.5,727,20,2,3.73,0,3,0,1,28,180,206,64,0.6367521367521367,0.2564102564102564,0.10683760683760683,4,Memphis,FW
221,2.3,50,0.28,0.22,26,2.46,0.76,19.6,1057,19,8,3.79,1,2,3,6,32,155,248,42,0.5162337662337663,0.39285714285714285,0.090909091,4,Gonçalo Guedes,FW
374,13.8,20,0.71,0.65,66,3.12,1.56,11.4,699,17,2,1.89,4,7,26,28,87,246,287,123,0.6358208955223881,0.2746268656716418,0.089552239,4,Álvaro Morata,FW
376,9.7,155,0.41,0.39,60,2.44,0.73,15.3,3399,82,6,4.07,10,7,24,32,135,594,558,125,0.526824034,0.3594420600858369,0.11373390557939914,4,Gerard Moreno,FW
216,12.3,118,0.54,0.42,75,2.55,0.99,17.3,4212,86,2,3.64,14,14,23,35,215,769,681,113,0.5312747426761678,0.32779097387173395,0.14093428345209819,4,Antoine Griezmann,FW
214,8.8,89,0.27,0.3,99,3.35,1.05,20.9,2684,62,11,3.75,3,5,4,6,76,621,690,124,0.4658385093167702,0.3447204968944099,0.18944099378881987,4,Mason Greenwood,MF
383,1.7,43,0.3,0.26,13,1.97,1.06,14.3,1364,37,0,3.78,2,3,0,4,32,256,192,24,0.5538461538461539,0.3384615384615385,0.1076923076923077,4,Iker Muniain,MF
387,10.4,40,0.27,0.4,62,2.4,0.81,14.1,999,42,2,2.01,4,3,26,28,70,486,405,116,0.5878260869565217,0.3408695652173913,0.071304348,4,Vedat Muriqi,FW
205,1.5,28,0.21,0.15,16,1.65,0.72,17,762,18,0,2.57,2,6,9,8,38,176,160,26,0.4959349593495935,0.36585365853658536,0.13821138211382114,4,Unai Gómez,MF
203,1.6,11,0,0.12,16,1.24,0.46,14.3,311,16,2,1.63,2,3,3,5,28,159,176,47,0.6113744075829384,0.2985781990521327,0.090047393,4,Maxi Gómez,FW
219,1.8,19,0.18,0.33,14,2.55,0.91,16.9,518,10,2,2.73,2,6,4,3,19,143,123,14,0.5343915343915344,0.3439153439153439,0.12169312169312169,4,Sergi Guardiola,FW
348,2,49,0.08,0.16,14,1.14,0.33,11.7,1633,44,0,2.86,7,5,11,20,94,357,133,28,0.5632183908045977,0.37701149425287356,0.059770114942528735,4,Gonzalo Melero,MF
344,11.9,67,0.63,0.5,43,1.8,0.96,15.8,1339,48,2,2.26,2,2,16,16,51,377,352,71,0.5239085239085239,0.34511434511434513,0.13097713097713098,4,Borja Mayoral,FW
342,5.6,19,0.25,0.28,32,1.61,0.6,13.8,751,12,6,2.12,12,8,31,32,109,255,370,72,0.6082251082251082,0.30735930735930733,0.084415584,4,Jaime Mata,FW
295,18.1,64,0.62,0.59,90,2.95,1.21,13.9,1192,27,4,2.06,0,6,18,24,47,361,502,165,0.6050583657587548,0.32684824902723736,0.068093385,4,Robert Lewandowski,FW
